# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,false
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4232
SuccessfulRequests,4232
Conflicts,121
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.37705
AvgAcquireTimeMs,15.489603024574668
AvgProcessingTimeMs,49.67367674858223
AvgTotalTimeMs,82.31356332703214

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
2,resource_3,18,65,101
1,resource_1,7,46,73
0,resource_3,25,21,61
5,resource_1,12,69,94
17,resource_0,24,33,73
11,resource_3,8,78,101
19,resource_0,19,33,65
7,resource_3,11,59,81
14,resource_3,19,51,88
16,resource_1,16,76,112
15,resource_1,13,54,92
4,resource_0,20,39,66
5,resource_2,20,57,82
7,resource_2,16,24,55
13,resource_2,20,36,65
8,resource_0,16,80,111
18,resource_0,20,29,63
9,resource_2,20,66,98
6,resource_3,16,56,93
4,resource_4,14,28,59
0,resource_1,10,84,116
17,resource_2,26,55,91
12,resource_1,14,83,121
10,resource_3,16,76,111
3,resource_2,13,58,87
1,resource_3,14,30,64
2,resource_1,19,70,110
5,resource_4,4,56,85
15,resource_0,25,52,78
4,resource_1,19,67,103
11,resource_2,17,56,80
16,resource_3,23,57,88
14,resource_2,16,41,79
12,resource_3,8,29,46
0,resource_3,21,63,100
1,resource_3,19,30,66
15,resource_0,18,64,91
17,resource_2,26,35,71
19,resource_0,23,40,79
10,resource_4,13,24,64
13,resource_4,9,36,58
4,resource_2,9,34,60
11,resource_2,16,43,80
18,resource_1,18,79,111
9,resource_2,2,19,41
7,resource_0,20,19,45
6,resource_1,17,90,124
2,resource_4,18,55,82
16,resource_4,21,43,75
3,resource_2,19,43,70
17,resource_2,10,31,53
13,resource_2,7,26,48
8,resource_1,8,63,83
19,resource_2,17,46,73
14,resource_0,20,53,84
5,resource_1,19,75,113
6,resource_0,15,35,68
1,resource_3,31,61,104
18,resource_0,14,59,92
15,resource_1,12,57,90
17,resource_4,18,54,97
0,resource_2,14,92,131
11,resource_3,12,41,57
7,resource_0,12,19,52
4,resource_0,15,69,92
10,resource_1,28,78,122
12,resource_0,9,77,98
9,resource_3,19,37,69
19,resource_4,17,61,88
11,resource_0,12,23,58
1,resource_2,12,85,121
16,resource_1,17,52,75
2,resource_0,15,40,69
18,resource_1,14,13,43
14,resource_4,12,54,79
5,resource_2,17,57,87
3,resource_2,9,85,105
8,resource_4,19,21,60
13,resource_2,22,65,97
4,resource_1,6,64,87
6,resource_0,14,53,84
17,resource_2,14,28,64
2,resource_1,13,36,64
15,resource_2,4,66,84
12,resource_3,16,30,60
7,resource_1,18,68,97
10,resource_0,7,69,88
16,resource_1,6,23,44
11,resource_1,9,62,91
0,resource_3,18,38,72
2,resource_1,16,43,73
9,resource_1,9,68,90
1,resource_1,13,28,63
4,resource_4,9,49,74
19,resource_1,12,50,75
3,resource_0,24,78,119
8,resource_0,13,72,99
18,resource_2,13,53,76
6,resource_1,16,67,93
14,resource_3,9,46,71
2,resource_3,14,59,90
5,resource_0,12,74,102
13,resource_2,17,60,90
11,resource_2,18,52,81
4,resource_1,10,66,95
12,resource_3,4,25,47
17,resource_1,10,62,75
0,resource_3,19,42,75
2,resource_2,16,72,110
15,resource_3,21,70,111
10,resource_1,21,47,73
9,resource_0,16,46,75
6,resource_4,10,38,65
16,resource_1,22,53,95
8,resource_3,24,68,113
7,resource_1,18,52,74
13,resource_1,14,28,56
18,resource_4,12,70,97
19,resource_2,19,47,88
17,resource_0,23,64,99
1,resource_1,13,52,85
4,resource_3,14,66,92
5,resource_2,14,17,53
11,resource_3,11,51,74
3,resource_1,22,63,103
12,resource_4,16,31,61
