# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,true
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4219
SuccessfulRequests,4219
Conflicts,0
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.16393
AvgAcquireTimeMs,16.008532827684284
AvgProcessingTimeMs,49.20786916330884
AvgTotalTimeMs,81.03342024176345

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
1,resource_0,9,71,102
13,resource_4,7,38,61
7,resource_0,15,19,42
14,resource_3,14,66,93
5,resource_1,16,65,90
15,resource_2,15,52,80
10,resource_4,21,45,86
18,resource_0,15,36,68
17,resource_4,19,31,64
8,resource_3,26,57,98
3,resource_3,9,107,130
6,resource_3,28,63,100
16,resource_0,17,63,95
2,resource_3,55,44,114
1,resource_0,8,33,54
0,resource_3,4,40,59
9,resource_1,13,57,76
19,resource_0,10,35,62
13,resource_0,10,52,76
15,resource_2,8,55,76
10,resource_4,16,62,93
4,resource_0,7,37,60
14,resource_2,14,42,71
7,resource_0,24,27,62
8,resource_4,21,41,77
11,resource_1,21,64,102
5,resource_0,19,36,64
12,resource_0,21,60,98
2,resource_4,17,41,68
18,resource_1,17,14,50
17,resource_0,16,86,126
19,resource_2,11,13,30
16,resource_2,14,19,45
9,resource_1,13,64,112
14,resource_2,9,59,82
3,resource_0,9,9,36
0,resource_4,9,43,63
13,resource_2,28,36,78
15,resource_2,13,32,68
1,resource_1,22,30,62
6,resource_3,17,34,65
2,resource_1,16,40,75
10,resource_2,20,39,78
7,resource_0,19,28,55
4,resource_3,13,53,78
14,resource_1,5,57,76
5,resource_4,10,50,70
16,resource_1,8,4,31
15,resource_3,11,7,30
18,resource_3,13,21,46
8,resource_0,2,57,77
12,resource_3,16,18,48
9,resource_4,20,73,106
0,resource_1,12,87,113
2,resource_2,11,1,33
1,resource_4,9,16,41
11,resource_4,22,82,121
3,resource_4,10,30,52
10,resource_2,9,51,69
2,resource_3,14,45,66
7,resource_3,19,87,117
19,resource_4,32,57,103
17,resource_3,14,53,82
13,resource_1,22,34,63
6,resource_4,24,11,56
16,resource_3,13,59,77
11,resource_0,12,25,52
14,resource_0,22,71,103
2,resource_3,10,41,69
1,resource_3,16,59,95
9,resource_4,1,52,66
10,resource_4,6,23,42
